distance,fuel,location,make,model,price,resource,year
245000.0,Dizel,Podgorica,Volkswagen,Polo,3800.0,autodiler.me,2007
248200.0,Dizel,Kotor,Audi,A3,8500.0,autodiler.me,2008
187100.0,Dizel,Rožaje,Volkswagen,Golf 5,4150.0,autodiler.me,2005
76000.0,Dizel,Bijelo Polje,Audi,A6,30000.0,autodiler.me,2019
94000.0,Benzin,Podgorica,Renault,Clio,850.0,autodiler.me,1999
251040.0,Dizel,Kolašin,Citroen,C3,3450.0,autodiler.me,2009
114766.0,Dizel,Podgorica,Volvo,XC 60,49980.0,autodiler.me,2021
195000.0,Dizel,Danilovgrad,Mercedes Benz,E 220,11999.0,autodiler.me,2014
36602.0,Dizel,Kotor,Volkswagen,Tiguan,38980.0,autodiler.me,2020
220000.0,Dizel,Nikšić,Citroen,C,6700.0,autodiler.me,2007
190000.0,Dizel,Podgorica,Audi,A3,14700.0,autodiler.me,2014
278000.0,Dizel,Berane,Nissan,X,3500.0,autodiler.me,2003
220000.0,Dizel,Podgorica,Peugeot,308,5400.0,autodiler.me,2010
338123.0,Dizel,Podgorica,Volkswagen,Golf 6,6999.0,autodiler.me,2010
308000.0,Dizel,Podgorica,Audi,A5,8000.0,autodiler.me,2008
220000.0,Dizel,Podgorica,Peugeot,308,3300.0,autodiler.me,2009
295764.0,Dizel,Rožaje,Audi,A3,3500.0,autodiler.me,2004
250000.0,Dizel,Rožaje,BMW,118,5500.0,autodiler.me,2006
190000.0,Dizel,Podgorica,Opel,Corsa,4450.0,autodiler.me,2012
98000.0,Benzin,Cetinje,Renault,R 4,3300.0,autodiler.me,1992
2222.0,Dizel,Bar,Audi,A4,9700.0,autodiler.me,2010
236176.0,Benzin,Bijelo Polje,Škoda,Fabia,2000.0,autodiler.me,2000
240000.0,Dizel,Nikšić,Audi,A6,6800.0,autodiler.me,2008
246020.0,Dizel,Bar,Mercedes Benz,C 250,10900.0,autodiler.me,2011
244052.0,Dizel,Kotor,Renault,Talisman,16500.0,autodiler.me,2016
196438.0,Dizel,Podgorica,Renault,Megane,7500.0,autodiler.me,2011
219000.0,Dizel,Podgorica,Mercedes Benz,GLK 220,12950.0,autodiler.me,2009
212000.0,Dizel,Podgorica,Citroen,Grand C4 Picasso,6200.0,autodiler.me,2012
240000.0,Dizel,Budva,Volvo,S40,3500.0,autodiler.me,2005
249000.0,Dizel,Berane,Audi,A4,8850.0,autodiler.me,2011
280000.0,Dizel,Podgorica,Volkswagen,Caddy,4600.0,autodiler.me,2006
220458.0,Dizel,Podgorica,Kia,Sorento,3800.0,autodiler.me,2003
190000.0,Dizel,Podgorica,Kia,Cee`d,4300.0,autodiler.me,2009
206100.0,Dizel,Bar,Volkswagen,Golf 3,1400.0,autodiler.me,1995
200000.0,Dizel,Bar,Volkswagen,Touran,6200.0,autodiler.me,2007
280000.0,Dizel,Podgorica,Volkswagen,Golf 5,3900.0,autodiler.me,2004
278734.0,Dizel,Pljevlja,Opel,Astra,1300.0,autodiler.me,2002
217066.0,Dizel,Bar,Audi,Q5,14059.0,autodiler.me,2009
290100.0,Dizel,Nikšić,Opel,Vectra,899.0,autodiler.me,1999
130000.0,Benzin,Nikšić,Kia,Picanto,3500.0,autodiler.me,2009
228404.0,Dizel,Nikšić,Volkswagen,Golf 6,6700.0,autodiler.me,2010
240000.0,Dizel,Nikšić,Volkswagen,Caddy,4850.0,autodiler.me,2007
229259.0,Dizel,Nikšić,Volkswagen,Golf 7,11200.0,autodiler.me,2013
235000.0,Dizel,Nikšić,Volkswagen,Golf 5,4999.0,autodiler.me,2006
260539.0,Dizel,Podgorica,Volkswagen,Caddy,6199.0,autodiler.me,2008
195000.0,Dizel,Nikšić,Volkswagen,Golf Plus,4500.0,autodiler.me,2005
172000.0,Dizel,Podgorica,Volkswagen,Golf 7,11300.0,autodiler.me,2014
250000.0,Dizel,Bar,Mercedes Benz,C 220,12000.0,autodiler.me,2011
239100.0,Dizel,Bijelo Polje,Volkswagen,Passat,6199.0,autodiler.me,2005
235000.0,Dizel,Podgorica,BMW,530,15900.0,autodiler.me,2010
175000.0,Dizel,Nikšić,Suzuki,Grand Vitara,4299.0,autodiler.me,2006
220000.0,Dizel,Danilovgrad,Mercedes Benz,220,2100.0,autodiler.me,2002
269450.0,Dizel,Bar,Opel,Mokka,8500.0,autodiler.me,2014
225000.0,Dizel,Podgorica,BMW,525,9900.0,autodiler.me,2007
220.0,Dizel,Budva,Kia,Sportage,12300.0,autodiler.me,2011
193000.0,Dizel,Podgorica,BMW,530,19600.0,autodiler.me,2017
250000.0,Dizel,Herceg Novi,Peugeot,206,900.0,autodiler.me,2002
266000.0,Dizel,Podgorica,Volkswagen,Passat,5300.0,autodiler.me,2006
202710.0,Dizel,Podgorica,Audi,Q5,15500.0,autodiler.me,2009
229000.0,Benzin+Plin,Podgorica,Ford,Mondeo,1450.0,autodiler.me,2001
